cv_id,jd_id,cv_group,jd_group,job_title,tfidf_score,sbert_score,bge_score,e5_score,gte_score,section_score,requirement_score,llm_score,pseudo_label_score,method_disagreement,pseudo_label,method_errors
resume_custom_05148,jd_custom_02419,Finance,Finance,Associate Attorney Job in Columbus,2.1037,27.4482,,,,63.7241,24.5833,,29.4648,25.4966,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_02601,Finance,Healthcare,Physical Therapist Job in San Antonio,2.5876,16.0752,,,,58.0376,3.0769,,19.9443,26.1523,bad_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_03646,Finance,Sales,Marketing Communications Specialist Job in Branchburg,3.6229,38.7681,,,,69.384,22.9546,,33.6824,27.8036,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_02770,Finance,Legal,Legal Assistant II at USAO Job in Syracuse,1.8632,28.2094,,,,64.1047,1.7857,,23.9907,29.4936,average_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_02127,Finance,Customer Support,UC DAAP-Food Service Worker Job in Cincinnati,1.8052,20.8352,,,,60.4176,2.9167,,21.4937,27.3754,average_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_02254,Finance,Education,Career Development Specialist Job in Austin,3.776,38.0785,,,,69.0393,24.0,,33.7234,27.4322,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_02034,Finance,Creative Media,Light Industrial - Record Center Specialist Job in Dallas,1.1006,33.1356,,,,66.5678,0.5,,25.326,31.4382,uncertain_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_02737,Finance,Hospitality,Experienced Server Job in New Port Richey,1.0868,31.1293,,,,65.5646,3.5,,25.3202,30.0928,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_02837,Finance,Logistics,Security Officer-Southwest City Job in Arkansas US body { margin:px; overflow: visible !important; } #ejb_header { color: #; font-family: Verdana,2.8042,24.9315,,,,62.4658,13.3333,,25.8837,26.0085,average_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_03438,Finance,Operations,Engineer - Quality Job in Dixon,3.4519,31.0295,,,,65.5148,2.8571,,25.7133,29.6108,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
